img_name,tess_storysquad_cos_error
3101,3912.0
3102,4854.0
3103,5798.0
3104,4913.0
3105,3984.0
3106,1505.0
3107,3301.0
3108,2276.0
3109,2815.0
3110,4864.0
3111,6135.0
3112,2720.0
3113,3735.0
3114,4162.0
3115,5419.0
3116,7374.0
3117,4809.0
3118,2069.0
3119,3525.0
3120,4289.0
3121,5559.0
3122,1242.0
3123,5405.0
3124,5593.0
3125,1652.0
3126,1973.0
3127,4483.0
3128,4424.0
3129,2438.0
3130,1013.0
3131,1989.0
3132,2489.0
3201,6175.0
3202,3455.0
3203,4007.0
3204,3034.0
3205,2241.0
3206,2863.0
3207,2652.0
3208,5695.0
3209,4046.0
3210,3659.0
3211,2260.0
3212,4764.0
3214,1622.0
3216,4035.0
3217,5043.0
3218,2815.0
3219,2826.0
3220,6021.0
3221,2629.0
3222,6331.0
3223,3849.0
3224,2826.0
3225,2559.0
3226,3293.0
3227,7277.0
3228,5627.0
3229,4753.0
3230,6924.0
3231,4273.0
3232,5134.0
3234,5596.0
3235,2701.0
3236,4452.0
3237,1978.0
3238,1357.0
3239,4798.0
3240,4230.0
3241,2887.0
3243,6967.0
3244,7113.0
3245,4007.0
3246,4109.0
3247,4666.0
3248,4067.0
5101,3034.0
5102,5252.0
5103,1382.0
5104,4070.0
5105,5124.0
5106,2654.0
5107,2453.0
5108,3761.0
5109,3256.0
5110,3759.0
5111,2595.0
5112,5320.0
5113,3337.0
5114,4885.0
5115,3561.0
5116,2555.0
5117,3136.0
5118,2757.0
5119,2532.0
5120,2563.0
5121,2952.0
5122,5201.0
5123,3499.0
5124,1863.0
5125,3524.0
5126,3113.0
5129,3493.0
5130,3673.0
5131,4919.0
5132,3704.0
5202,4637.0
5203,1945.0
5204,2424.0
5205,2770.0
5206,992.0
5207,3414.0
5208,4257.0
5209,1939.0
5210,2401.0
5213,2563.0
5214,4648.0
5215,2698.0
5216,3254.0
5217,1402.0
5218,2158.0
5219,1293.0
5220,2126.0
5221,4576.0
5222,2810.0
5223,5017.0
5224,2419.0
5225,3383.0
5227,2230.0
5228,2258.0
5229,2749.0
5230,701.0
5232,2274.0
5233,3306.0
5234,3129.0
5235,1492.0
5236,3350.0
5237,3495.0
5238,5941.0
5239,3021.0
5240,5499.0
5241,3448.0
5242,2878.0
5243,3229.0
5244,5189.0
5245,1263.0
5246,4318.0
5247,1270.0
5248,4961.0
5249,3093.0
5250,5037.0
5251,3552.0
5252,2903.0
5253,2822.0
5254,2916.0
5255,4538.0
5256,4795.0
5257,3468.0
5258,3737.0
5259,1671.0
5260,3865.0
5261,2499.0
5262,1850.0
5263,1426.0
5264,5080.0
